Cat_name,Status
Furnace Parts & Accessories_Motors,FALSE
Under-Sink & Countertop Filtration,TRUE
Vacuum Parts & Accessories_Covers,FALSE
Ballasts,FALSE
Blender Replacement Parts,FALSE
Safety Grip Tapes,FALSE
Nails_Pole Barn Nails,FALSE
Hammers_Hammer Handles,TRUE
Pitchforks,TRUE
Collated Fasteners_Collated Nails_Pinner Nails,FALSE
Black Light Fixtures,TRUE
Fall Protection_Safety Harnesses,TRUE
Welding Systems,TRUE
Electrical Testers_EMF Meters,TRUE
Forklifts,FALSE
Transformers,FALSE
Saws_Metal-Cutting & Chop Saws,TRUE
Decking & Fencing_Gates,FALSE
Nails_Collated Nails_Finish Nails,FALSE
Paint Scrapers,TRUE
Water Dispensers & Coolers_Hot & Cold Water Dispensers,TRUE
Combination Gas & Carbon Monoxide Detectors,FALSE
Hand & Arm Protection_Lab Safety & Work Gloves_Anti-Vibration Gloves,TRUE
Nailers & Staplers_Nailers_Pinners,TRUE
Spotlights,FALSE
Chains_Sash Chains,TRUE
Manual Sanding Products_Sanding Rolls,FALSE
Lamp Sets,TRUE
Mail Drop & Collection Boxes,TRUE
Furnace Parts & Accessories_Relays,FALSE
Nuts_Allen Nuts,FALSE
Carpentry Squares,TRUE
Routers,TRUE
Ratcheting,TRUE
Drills_Demolition Drills & Hammers_Rotary Hammers,TRUE
Pliers_Side-Cutting Pliers,TRUE
Picks,TRUE
Punches_Center Punches,TRUE
Electrical Testers_Resistance Meters_Capacitance Meters,FALSE
Deadbolts,TRUE
Roofing_Trusses,FALSE
Levels,TRUE
Windows_Window Awnings & Canopies,FALSE
Furniture Cups,TRUE
Power Fastening Tool Parts & Accessories_Collated Fasteners_Collated Nails_Roofing Nails,FALSE
Saw Blades Parts & Accessories_Blades_Reciprocating Saw Blades,FALSE
Power Finishing Tool Parts & Accessories_Power Sander Parts & Accessories_Accessories,FALSE
Air Conditioner Parts & Accessories_Accessories,TRUE
Faucet Stems,FALSE
Air Conditioner Parts & Accessories_Replacement Parts_Knobs,TRUE
Bidet & Bidet Parts_Bidet Faucets,FALSE
Floor Cord Covers,TRUE
Nail Pullers,TRUE
Circuit Breaker Panels,FALSE
Washers_Wave Washers,FALSE
Emergency Light Fixtures,FALSE
Safety Footwear_Boot & Shoe Covers,FALSE
Workholding Devices_Clamps_Spring Clamps,TRUE
Ceiling Fan Accessories_Pull Chain Ornaments,FALSE
Stepstools,TRUE
Manual Sanding Products_Sanding Sticks,FALSE
Furnace Parts & Accessories_Knobs,FALSE
Bathtubs_Freestanding Bathtubs,FALSE
Lifting Cranes_Hydraulic,TRUE
Flooring_Flooring Materials_Carpet & Carpet Tiles,FALSE
Winches Hoists & Pulleys_Winch Accessories_Remote Control Systems,TRUE
Winches Hoists & Pulleys_Winch Accessories_Choker Chains,TRUE
Punches_Arch Punches,TRUE
Post Hole Diggers,TRUE
Reamers_Expansion Reamers,TRUE
Saws_Reciprocating Saws,TRUE
Hammers_Sledgehammers,TRUE
Power Fastening Tool Parts & Accessories_Collated Fasteners_Collated Nails_Siding Nails,FALSE
Welding Equipment & Accessories_Welding Wire,FALSE
Abrasive Wheels & Discs_Die Grinder Wheels,FALSE
Vacuum & Dust Collector Accessories_Filters,FALSE
Plugs,FALSE
Lathe Parts & Accessories_Chucks,TRUE
Cutters_Wire Cutters,TRUE
Concrete Tools_Concrete Vibrators,TRUE
Drill Presses_Mortisers,TRUE
Bathtubs_Drop-In Bathtubs,FALSE
Power Finishing Tool Parts & Accessories_Power Grinder Parts & Accessories_Wire Wheels & Brushes_Flat End Brushes,FALSE
Welding Equipment & Accessories_Arc Welding Equipment_Electrode Holders,FALSE
Workholding Devices_Vises_Pin Vises,TRUE
Ceiling Fan Accessories_Downrod Couplers,FALSE
Air Compressors & Inflators_Stationary Air Compressors,TRUE
Door Viewers,TRUE
Recessed Lighting_Trim,FALSE
Manual Weeders,TRUE
Wrenches_Hex Keys,TRUE
Bread Machine Parts & Accessories,FALSE
Warning Alarms,TRUE
Raw Building Materials_Mortar Mix,FALSE
Hand & Arm Protection_Lab Safety & Work Gloves_Controlled Environment Gloves,TRUE
Ergonomic Supports_Hand & Wrist Braces,TRUE
Fire Safety_Smoke Detectors & Fire Alarms,FALSE
All-in-One Combination Washers & Dryers,TRUE
Pull Chains,TRUE
Video Doorbells,FALSE
Bolts_Structural Bolts,FALSE
Vacuum Parts & Accessories_Filters_Upright Filters,FALSE
Lighting Accessories_Post Light Accessories,TRUE
Sanders_Detail Sanders,TRUE
Compact Fluorescent Bulbs,FALSE
Refrigerator Parts & Accessories_Motors,TRUE
Masks & Respirators_Cartridges & Filters_Respirator Parts_Respirators_Safety Masks,FALSE
Wall Stencils,FALSE
Saws_Jig Saws,TRUE
Flooring_Flooring Materials_Ceramic Floor Tile,FALSE
System Attachments_Shelves,TRUE
Hasps,TRUE
Coffee & Espresso Machine Parts & Accessories_Coffee Machine Accessories_Coffee Filters_Permanent Filters,FALSE
Gate Openers,TRUE
Single Wall Ovens,FALSE
Grinders_Angle Grinders,TRUE
Screws_Self-Tapping Screws,FALSE
Bolts_Wheel Bolts,FALSE
Files & Rasps_Swiss Pattern Files,TRUE
Fiber Optic Lights,TRUE
